# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047351731994e-05       2.548895199904e+01 
       2.340743913420e-05       5.537960703790e+01 
       3.638716748480e-05       8.476399176204e+01 
       4.944791378376e-05       1.139526674753e+02 
       6.262547613581e-05       1.431236147097e+02 
       7.595656116047e-05       1.724110293509e+02 
       8.947911617944e-05       2.019302173370e+02 
       1.032326762210e-04       2.317878128693e+02 
       1.172587303275e-04       2.620870195989e+02 
       1.316011116848e-04       2.929308140596e+02 
       1.463064160994e-04       3.244241726109e+02 
       1.614244532804e-04       3.566758217957e+02 
       1.770087351978e-04       3.897997383512e+02 
       1.931170053927e-04       4.239165279871e+02 
       2.098118124213e-04       4.591547530809e+02 
       2.271611294778e-04       4.956522456155e+02 
       2.452390204812e-04       5.335574308991e+02 
       2.641263503068e-04       5.730306606791e+02 
       2.839115330950e-04       6.142455498381e+02 
       3.046913073430e-04       6.573902881607e+02 
       3.265715193731e-04       7.026688896033e+02 
       3.496678873628e-04       7.503023105939e+02 
       3.741067060224e-04       8.005293483012e+02 
       4.000254369668e-04       8.536071997676e+02 
       4.275731119149e-04       9.098115240957e+02 
       4.569104556571e-04       9.694358167895e+02 
       4.882096147796e-04       1.032789863470e+03 
       5.216533592001e-04       1.100197023531e+03 
       5.574336111076e-04       1.171990068664e+03 
       5.957491561832e-04       1.248505345184e+03 
       6.368024128256e-04       1.330075063745e+03 
       6.807951847174e-04       1.417017688549e+03 
       7.279234067888e-04       1.509626547898e+03 
       7.783710154798e-04       1.608157085279e+03 
       8.323032229236e-04       1.712813460845e+03 
       8.898596308005e-04       1.823735440586e+03 
       9.511477507798e-04       1.940986838651e+03 
       1.016237566123e-03       2.064546718831e+03 
       1.085157739717e-03       2.194304482323e+03 
       1.157893933083e-03       2.330059625112e+03 
       1.234389463579e-03       2.471526357674e+03 
       1.314548237718e-03       2.618342868584e+03 
       1.398239619509e-03       2.770071406887e+03 
       1.485304683764e-03       2.926242262806e+03 
       1.575563203249e-03       3.086358893495e+03 
       1.668820731233e-03       3.249901308438e+03 
       1.764875244855e-03       3.416348448622e+03 
       1.863522970598e-03       3.585190292998e+03 
       1.964563180755e-03       3.755937330105e+03 
       2.067801897985e-03       3.928127226249e+03 
       2.173054556912e-03       4.101329351933e+03 
       2.280147742849e-03       4.275147170781e+03 
       2.388920162772e-03       4.449219396590e+03 
       2.499223011227e-03       4.623219266626e+03 
       2.610919883542e-03       4.796854085874e+03 
       2.723886368643e-03       4.969862870096e+03 
       2.838009429999e-03       5.142014808999e+03 
       2.953186659667e-03       5.313105369198e+03 
       3.069325469253e-03       5.482956299408e+03 
       3.186342263839e-03       5.651410397990e+03 
       3.304161630640e-03       5.818331011685e+03 
       3.422715563174e-03       5.983601054040e+03 
       3.541942733498e-03       6.147117376435e+03 
       3.661787819128e-03       6.308791596480e+03 
       3.782200887106e-03       6.468549729002e+03 
       3.903136834842e-03       6.626326321139e+03 
       4.024554885575e-03       6.782068477388e+03 
       4.146418135170e-03       6.935730193955e+03 
       4.268693146425e-03       7.087273922866e+03 
       4.391349586775e-03       7.236668990283e+03 
       4.514359905341e-03       7.383891101937e+03 
       4.637699045358e-03       7.528925776345e+03 
       4.761344188283e-03       7.671752300106e+03 
       4.885274526161e-03       7.812366467551e+03 
       5.009471059116e-03       7.950758199066e+03 
       5.133916415147e-03       8.086929126799e+03 
       5.258594689683e-03       8.220878924808e+03 
       5.383491302649e-03       8.352608674206e+03 
       5.508592871017e-03       8.482125223524e+03 
       5.633887095065e-03       8.609462216333e+03 
       5.759362656773e-03       8.734673422648e+03 
       5.885009128951e-03       8.857574869265e+03 
       6.010816893888e-03       8.978226185739e+03 
       6.136777070431e-03       9.096708606656e+03 
       6.262881448544e-03       9.213075362516e+03 
       6.389122430502e-03       9.327332212405e+03 
       6.515492978000e-03       9.439479544770e+03 
       6.641986564499e-03       9.549489400528e+03 
       6.768597132253e-03       9.657415271690e+03 
       6.895319053508e-03       9.763628338685e+03 
       7.022147095415e-03       9.867700627221e+03 
       7.149076388277e-03       9.969658320351e+03 
       7.276102396759e-03       1.006962116167e+04 
       7.403220893776e-03       1.016750042499e+04 
       7.530427936763e-03       1.026338596672e+04 
       7.657719846094e-03       1.035734148496e+04 
       7.785093185431e-03       1.044935570084e+04 
